,Ua,Cm,Ca,Hm,air_temp,mass_temp,OD_temp,HVAC_power,hour,date,hvac_average_power
0,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 3, 21)",115.55555555555556
1,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 6, 21)",0.0
2,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 9, 21)",1306.6666666666667
3,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 12, 21)",0.0
4,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 3, 21)",1075.5555555555557
5,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 6, 21)",0.0
6,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 9, 21)",0.0
7,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 12, 21)",0.0
8,0.9,0.9,0.9,0.9,-4,-4,3,15000,3,"(2021, 3, 21)",0.0
9,0.9,0.9,0.9,0.9,-4,-4,3,15000,3,"(2021, 6, 21)",960.0
10,0.9,0.9,0.9,0.9,-4,-4,3,15000,3,"(2021, 9, 21)",0.0
11,0.9,0.9,0.9,0.9,-4,-4,3,15000,3,"(2021, 12, 21)",0.0
12,0.9,0.9,0.9,0.9,-4,-4,3,15000,6,"(2021, 3, 21)",0.0
13,0.9,0.9,0.9,0.9,-4,-4,3,15000,6,"(2021, 6, 21)",920.0
14,0.9,0.9,0.9,0.9,-4,-4,3,15000,6,"(2021, 9, 21)",0.0
15,0.9,0.9,0.9,0.9,-4,-4,3,15000,6,"(2021, 12, 21)",0.0
16,0.9,0.9,0.9,0.9,-4,-4,3,20000,3,"(2021, 3, 21)",640.0
17,0.9,0.9,0.9,0.9,-4,-4,3,20000,3,"(2021, 6, 21)",0.0
18,0.9,0.9,0.9,0.9,-4,-4,3,20000,3,"(2021, 9, 21)",711.1111111111111
19,0.9,0.9,0.9,0.9,-4,-4,3,20000,3,"(2021, 12, 21)",0.0
20,0.9,0.9,0.9,0.9,-4,-4,3,20000,6,"(2021, 3, 21)",0.0
21,0.9,0.9,0.9,0.9,-4,-4,3,20000,6,"(2021, 6, 21)",711.1111111111111
22,0.9,0.9,0.9,0.9,-4,-4,3,20000,6,"(2021, 9, 21)",0.0
23,0.9,0.9,0.9,0.9,-4,-4,3,20000,6,"(2021, 12, 21)",53.333333333333336
24,0.9,0.9,0.9,0.9,-4,-4,5,10000,3,"(2021, 3, 21)",0.0
25,0.9,0.9,0.9,0.9,-4,-4,5,10000,3,"(2021, 6, 21)",657.7777777777778
26,0.9,0.9,0.9,0.9,-4,-4,5,10000,3,"(2021, 9, 21)",0.0
27,0.9,0.9,0.9,0.9,-4,-4,5,10000,3,"(2021, 12, 21)",711.1111111111111
