,Ua,Cm,Ca,Hm,air_temp,mass_temp,OD_temp,HVAC_power,hour,date,hvac_average_power
0,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 3, 21)",0.0
1,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 6, 21)",0.0
2,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 9, 21)",0.0
3,0.9,0.9,0.9,0.9,-4,-4,3,10000,3,"(2021, 12, 21)",0.0
4,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 3, 21)",0.0
5,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 6, 21)",0.0
6,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 9, 21)",0.0
7,0.9,0.9,0.9,0.9,-4,-4,3,10000,6,"(2021, 12, 21)",0.0
8,0.9,0.9,0.9,0.9,-4,-4,3,10000,8,"(2021, 3, 21)",1093.3333333333333
9,0.9,0.9,0.9,0.9,-4,-4,3,10000,8,"(2021, 6, 21)",1084.4444444444443
10,0.9,0.9,0.9,0.9,-4,-4,3,10000,8,"(2021, 9, 21)",1031.111111111111
11,0.9,0.9,0.9,0.9,-4,-4,3,10000,8,"(2021, 12, 21)",453.3333333333333
12,0.9,0.9,0.9,0.9,-4,-4,3,10000,11,"(2021, 3, 21)",1146.6666666666667
13,0.9,0.9,0.9,0.9,-4,-4,3,10000,11,"(2021, 6, 21)",1120.0
14,0.9,0.9,0.9,0.9,-4,-4,3,10000,11,"(2021, 9, 21)",1280.0
15,0.9,0.9,0.9,0.9,-4,-4,3,10000,11,"(2021, 12, 21)",1111.111111111111
16,0.9,0.9,0.9,0.9,-4,-4,3,10000,13,"(2021, 3, 21)",1084.4444444444443
17,0.9,0.9,0.9,0.9,-4,-4,3,10000,13,"(2021, 6, 21)",1093.3333333333333
18,0.9,0.9,0.9,0.9,-4,-4,3,10000,13,"(2021, 9, 21)",1244.4444444444443
19,0.9,0.9,0.9,0.9,-4,-4,3,10000,13,"(2021, 12, 21)",1200.0
20,0.9,0.9,0.9,0.9,-4,-4,3,10000,16,"(2021, 3, 21)",1075.5555555555557
21,0.9,0.9,0.9,0.9,-4,-4,3,10000,16,"(2021, 6, 21)",1066.6666666666667
22,0.9,0.9,0.9,0.9,-4,-4,3,10000,16,"(2021, 9, 21)",1048.888888888889
23,0.9,0.9,0.9,0.9,-4,-4,3,10000,16,"(2021, 12, 21)",960.0
